,Word,FREQcount
0,confidential,492
1,confide,30
2,configuration,53
3,configure,18
4,confine,298
5,confirm,1928
6,confiscate,177
7,confiscation,2
8,confit,2
9,conflagration,5
10,conflict,605
11,confluence,10
12,conform,162
13,confound,133
14,confrere,2
15,confront,534
16,confucian,4
17,confucius,45
18,confuse,1931
19,confusing,502
20,confusion,366
21,cong,5597
22,conic,10
23,conine,4
24,conjecture,47
25,conjoin,12
26,conjugal,40
27,conjugate,12
28,conjugating,5
29,conjugation,2
30,conjunction,66
31,conjunctival,2
32,conjunctivis,6
33,conjuration,2
34,conjure,103
35,conjuring,19
36,conk,51
37,conman,4
38,conn,3906
39,con,180
40,conner,83
41,connex,14
42,connie,806
43,conning,43
44,conniption,7
45,connive,60
46,connoisseur,34
47,connotation,25
48,connote,2
49,connubial,4
50,conquer,550
51,conquest,126
52,conquistador,13
53,consarn,17
54,conscience,721
55,conscientious,66
56,conscious,818
57,conscript,22
58,consecrate,38
59,consecration,2
60,consecutive,91
61,consensual,37
62,consensus,83
63,consent,477
64,consequence,699
65,consequent,57
66,conservancy,17
67,conservation,35
68,conservative,214
69,conservatoire,7
70,conservator,82
71,conserve,48
72,conserving,8
73,consider,5801
74,consign,57
75,consist,516
76,consolation,188
77,consol,242
78,consonant,21
79,consort,104
80,conspicuous,78
81,conspiracy,551
82,conspiration,2
83,conspirator,41
84,conspire,146
85,constable,153
86,constabulary,10
87,constance,154
88,constancy,10
89,constant,1005
90,constellation,71
91,consternation,7
92,constipated,44
93,constipation,21
94,constituency,22
95,constituent,32
96,constitute,128
97,constitution,415
98,constrain,35
99,constrict,48
100,construct,1029
101,construe,51
102,consul,1302
103,consumable,5
104,consume,515
105,consummate,85
106,consummation,10
107,consumption,94
108,cont,26563
109,conundrum,27
110,conus,3
111,conv,9851
112,coo,64
113,cooch,12
114,cook,6211
115,cool,11031
116,coombe,24
117,coombs,77
118,coon,98
119,coop,2716
120,coordinate,590
121,coordination,67
122,coordinator,88
123,coot,117
124,cop,8736
125,copa,60
126,cope,336
127,copy,3288
128,copier,35
129,copilot,54
130,copious,18
131,copper,402
132,coppin,40
133,copra,4
134,coprophilia,2
135,copter,27
136,copulate,13
137,copulating,6
138,copulation,8
139,copulatory,3
140,copybook,4
141,copycat,53
142,copying,66
143,copyist,6
144,copyright,38
145,copywriter,9
146,coquette,15
147,coquille,9
148,cor,24
149,cora,336
150,corbeau,3
151,corbeil,4
152,corbet,2
153,corby,11
154,cord,960
155,core,544
156,corgis,3
157,coriander,4
158,corinne,53
159,corinth,73
160,cork,423
161,cormorant,5
162,corn,4728
163,corollary,9
164,corona,323
165,coronel,6
166,coroner,464
167,coronet,6
168,corp,3437
169,corr,4903
170,corsage,53
171,corsair,7
172,corse,72
173,corso,47
174,nort,20
175,cort,267
176,corundum,3
177,corvette,75
178,corvina,2
179,corvo,3
180,corvus,3
181,cos,1535
182,cose,6
183,cosign,17
184,cosine,8
185,cosmetic,195
186,cosmetologist,7
187,cosmetology,9
188,cosmic,193
189,cosmo,371
190,cossack,33
191,cost,4717
192,customer,8
193,costume,306
194,costuming,2
195,cosy,103
196,cot,134
197,cote,10
198,cotillion,72
199,cotillon,9
200,cotta,299
201,cotter,16
202,cotton,766
203,cotyledon,6
204,couch,1245
205,coud,2
206,cougar,128
207,cough,883
208,coul,100492
209,coumarin,2
210,council,1011
211,counsel,1734
212,count,19593
213,coup,12287
214,courage,1379
215,courant,12
216,courier,210
217,course,25069
218,court,6976
219,couscous,14
220,cousin,2870
221,couth,7
222,couture,16
223,couturier,8
224,covalent,5
