,Word,FREQcount
0,rep,878
1,repel,105
2,repercuss,59
3,repertoir,23
4,repert,16
5,repetit,69
6,repet,7
7,rephras,89
8,replac,1679
9,repl,79
10,replay,74
11,repledg,2
12,replet,8
13,replic,56
14,replica,6
15,reply,408
16,repop,12
17,report,9680
18,repos,36
19,reposit,60
20,repossess,51
21,repot,3
22,reprehens,29
23,repres,2054
24,repress,176
25,repriev,62
26,reprimand,56
27,reprint,17
28,repr,46
29,reproach,35
30,reprob,17
31,reprocess,4
32,reproduc,260
33,reprogram,79
34,reproof,2
35,reprov,4
36,reptil,148
37,republ,560
38,republic,2
39,repudy,22
40,repugn,42
41,repuls,170
42,reput,1105
43,req,3
44,request,2239
45,requiem,19
46,requiesc,2
47,requir,1800
48,requisit,106
49,requit,11
50,rer,2
51,reread,38
52,rerecord,2
53,rerig,2
54,rerout,83
55,rerun,90
56,res,553
57,resc,2
58,resched,229
59,rescind,62
60,rescu,1727
61,research,1915
62,resect,48
63,resed,24
64,resee,11
65,resel,11
66,resembl,373
67,resend,2
68,resequ,3
69,reserv,1574
70,reservoir,106
71,reset,184
72,resettl,5
73,reshap,20
74,reship,2
75,reshoot,25
76,reshot,6
77,reshuffl,6
78,resid,1452
79,residu,148
80,resign,651
81,resy,38
82,resin,33
83,resist,1412
84,resold,4
85,resolv,656
86,reson,81
87,resort,408
88,resound,36
89,resourc,640
90,resp,4
91,respect,4959
92,respir,257
93,respirometry,2
94,respit,24
95,resplend,11
96,respond,1234
97,respons,5366
98,rest,12112
99,restart,42
100,resta,2728
101,restitch,2
102,restitut,28
103,restless,263
104,restock,32
105,restrain,308
106,restraint,208
107,restrict,370
108,restroom,148
109,restruct,46
110,resty,2
111,resubmit,3
112,result,2309
113,resum,399
114,resupply,20
115,resurfac,38
116,resurg,4
117,resurrect,265
118,resuscit,93
119,retail,139
120,retain,345
121,retak,53
122,reta,139
123,retard,588
124,retch,48
125,retel,2
126,ret,658
127,retest,18
128,rethink,101
129,rethought,6
130,rethread,2
131,reticul,11
132,retic,2
133,retin,72
134,retina,15
135,retinit,5
136,retir,1694
137,retold,4
138,retook,4
139,retool,12
140,retort,15
141,retouch,10
142,retrac,42
143,retract,217
144,retrain,12
145,retread,10
146,retribut,85
147,retriev,385
148,retro,80
149,retroact,26
150,retrocec,2
151,retrofit,17
152,retrograd,17
153,retrogress,2
154,retroperiton,3
155,retrorocket,2
156,retrospect,51
157,retrovir,2
158,retrovirus,2
159,retry,5
160,retun,4
161,return,6984
162,retyp,2
163,reub,60
164,reun,498
165,reunit,143
166,reupholst,7
167,reus,15
168,rev,1785
169,revamp,9
170,reveil,39
171,revel,271
172,revelry,9
173,reveng,983
174,revenu,148
175,reverb,26
176,reverend,967
177,revery,9
178,revers,817
179,revert,60
180,review,1173
181,revil,19
182,revid,61
183,revisit,60
184,revit,22
185,revoc,5
186,revoir,179
187,revok,110
188,revolt,192
189,revolv,1248
190,revot,2
191,revu,39
